question_id,topic,claim_summary,reference_in_question,authoritative_source,status,risk_level,proposed_fix
TX-PRK-0020,PARKING,What should you always check before parking in a location with posted signs? → Time restrictions and permit requirements,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0021,PARKING,"When parallel parking, what is the first step? → Signal and pull alongside the car ahead",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0022,PARKING,How far should you position your car from the vehicle ahead when beginning parallel parking? → 2-3 feet,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0023,PARKING,"After pulling alongside the car ahead, which way should you turn your wheels as you begin backing? → Sharply toward the curb",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0024,PARKING,"When your car reaches about a 45-degree angle during parallel parking, what should you do with your wheels? → Straighten them",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0025,PARKING,What is the maximum distance from the curb your vehicle should be when parallel parked in Texas? → 18 inches,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0026,PARKING,Approximately how large should a parallel parking space be for safe parking? → About 1.5 times your vehicle length,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0027,PARKING,"What should you do before pulling out of a parallel parking space? → Check mirrors and blind spots, then signal",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0028,PARKING,"When parallel parking, how should you control your speed? → Back slowly with gentle brake pressure",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0029,PARKING,"After backing until nearly parallel to the curb, which way should you turn your wheels to straighten the vehicle? → Away from the curb",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0030,PARKING,"Can you parallel park within 15 feet of a fire hydrant? → No, you must stay at least 15 feet away",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0031,PARKING,"When parking uphill with a curb, which way should you turn your wheels? → Away from the curb (left)",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0032,PARKING,"When parking downhill with a curb, which way should you turn your wheels? → Toward the curb (right)",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0033,PARKING,"When parking uphill without a curb, which way should you turn your wheels? → Right, toward the road shoulder",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0034,PARKING,"When parking downhill without a curb, which way should you turn your wheels? → Right, toward the road shoulder",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0035,PARKING,What should you always engage when parking on a hill? → The parking brake,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0036,PARKING,"When parking on a hill with an automatic transmission, what gear should you use? → Park",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0037,PARKING,"When parking uphill with a manual transmission, which gear provides the best safety? → First gear (lowest gear)",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0038,PARKING,"When parking downhill with a manual transmission, which gear should you use? → Reverse",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0039,PARKING,Why is it important to turn your wheels properly when parking on a hill? → To prevent the car from rolling into traffic if brakes fail,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0040,PARKING,What is the purpose of turning wheels toward the curb when parked downhill? → The front tire hits the curb if the car rolls forward,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0041,PARKING,Who is legally allowed to park in a disabled parking space? → Only vehicles with valid disabled placards or plates,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0042,PARKING,What is the minimum fine for illegally parking in a disabled parking space in Texas? → $500 or more,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0043,PARKING,What color is a permanent disabled parking placard? → Blue,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0044,PARKING,What color is a temporary disabled parking placard? → Red,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0045,PARKING,"Can you park in the diagonal striped area next to a disabled parking space? → No, these access aisles must remain clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0046,PARKING,What does a 'Van Accessible' sign indicate at a disabled parking space? → The space is wider for wheelchair lifts and ramps,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0047,PARKING,"Is it legal to use someone else's disabled parking placard? → No, it must be used only by the person to whom it was issued",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0048,PARKING,What makes a parking space legally designated as a disabled parking space? → Both proper signage and pavement markings,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0049,PARKING,"Can you park in a disabled space if you're just dropping off a person with disabilities? → No, unless the vehicle displays a valid permit",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0050,PARKING,What does the international symbol of access (wheelchair symbol) on pavement indicate? → The space is reserved for disabled parking permit holders,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0051,PARKING,"When parallel parking, what should you monitor while backing into the space? → All mirrors and the rear window",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0052,PARKING,What should you do if your parallel parking attempt is not successful on the first try? → Pull forward and try again,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0053,PARKING,"Can you parallel park in front of a driveway if the space is large enough? → No, blocking driveways is always illegal",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0054,PARKING,"When preparing to parallel park, what should you do to alert other drivers? → Use your turn signal",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0055,PARKING,"After parallel parking on a steep hill, what additional precautions should you take? → Turn wheels appropriately and set parking brake firmly",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0056,PARKING,Why must access aisles next to disabled parking spaces remain clear? → They provide room for wheelchair ramps and mobility devices,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0057,PARKING,What should you do if all regular parking spaces are full but disabled spaces are available? → Find parking elsewhere; never use disabled spaces without a permit,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0058,PARKING,"When exiting a parallel parking space on a busy street, what is the safest procedure? → Check all mirrors and blind spots, signal, and merge when clear",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0059,PARKING,"A car is parked facing uphill on a steep street with no curb. If the parking brake fails, which way will the car roll and why is the wheel position critical? → Backward into traffic unless wheels are ",DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PRK-0060,PARKING,What is the primary reason Texas law requires parking within 18 inches of the curb when parallel parked? → To maintain traffic flow and prevent obstruction of the travel lane,DL-7: Parking Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0001,PAVEMENT_MARKINGS,What does a solid white line between lanes indicate? → Lane changes are discouraged but permitted if safe,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0002,PAVEMENT_MARKINGS,What does a dashed white line between lanes mean? → Lane changes are permitted,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0003,PAVEMENT_MARKINGS,What does a double solid yellow line indicate? → Passing is prohibited in both directions,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0004,PAVEMENT_MARKINGS,"What is the primary difference between yellow and white pavement lines? → Yellow separates opposing traffic, white separates same-direction traffic",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0005,PAVEMENT_MARKINGS,"When you see a single dashed yellow line, what does it indicate? → Passing is allowed when safe",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0006,PAVEMENT_MARKINGS,What does it mean when there is a double yellow line with one solid and one dashed line? → You can pass only if the dashed line is on your side,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0007,PAVEMENT_MARKINGS,What does a white edge line on the right side of the road mark? → The edge of the roadway,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0008,PAVEMENT_MARKINGS,"If you are driving and the solid yellow line is on your side with a dashed yellow line on the opposite side, what should you do? → Do not pass, passing is only allowed for opposing traffic",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0009,PAVEMENT_MARKINGS,What do wider and more frequently spaced dashes in a white line indicate? → An exit or entrance lane is approaching,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0010,PAVEMENT_MARKINGS,What does a yellow edge line on the left side of a divided highway indicate? → The left edge of traffic traveling in your direction,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0011,PAVEMENT_MARKINGS,"When approaching a solid white line at an intersection, what does it indicate? → You should not change lanes within the intersection",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0012,PAVEMENT_MARKINGS,"Are you legally required to stop at a solid white line? → No, it only discourages lane changes",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0013,PAVEMENT_MARKINGS,What is the purpose of longer dashed white lines with shorter gaps? → To mark a lane drop or merge area requiring extra caution,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0014,PAVEMENT_MARKINGS,What does a double solid white line between lanes indicate? → Crossing is prohibited except in emergencies,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0015,PAVEMENT_MARKINGS,Why are yellow lines used instead of white on undivided two-way roads? → To warn drivers that oncoming traffic is in the adjacent lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0016,PAVEMENT_MARKINGS,When can you legally cross a double solid yellow line? → When turning left into or out of a driveway or side street,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0017,PAVEMENT_MARKINGS,"What do broken white lines that become solid white lines indicate? → Lane changes should end, an intersection or restricted area is ahead",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0018,PAVEMENT_MARKINGS,What does it mean when yellow lines are painted on both sides of your lane? → You are in a center turn lane shared by traffic from both directions,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0019,PAVEMENT_MARKINGS,Which color line separates traffic moving in opposite directions? → Yellow,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0020,PAVEMENT_MARKINGS,"If you see solid yellow lines transitioning to dashed yellow lines, what is changing? → You are entering a zone where passing is now permitted",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0021,PAVEMENT_MARKINGS,"What does a wide white edge line indicate? → The edge of the roadway, often used where extra visibility is needed",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0022,PAVEMENT_MARKINGS,"What is the significance of seeing a dashed yellow line that becomes solid yellow? → A no-passing zone is beginning, complete passes before reaching the solid line",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0023,PAVEMENT_MARKINGS,"On a three-lane road with dashed yellow on both sides of the center lane, who can use the center lane? → Traffic from both directions for left turns only",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0024,PAVEMENT_MARKINGS,What should you do when approaching an area where solid white lines separate multiple lanes in the same direction? → Avoid changing lanes and stay in your current lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0025,PAVEMENT_MARKINGS,Under what condition might you see both yellow and white lines together in the same lane area? → At a transition from one-way to two-way traffic flow,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0026,PAVEMENT_MARKINGS,What does a left turn arrow painted on the pavement indicate? → This lane must turn left,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0027,PAVEMENT_MARKINGS,What does a straight arrow painted on the pavement mean? → This lane must continue straight,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0028,PAVEMENT_MARKINGS,What does the word 'ONLY' painted on the pavement indicate? → The lane is restricted to the designated direction or purpose shown,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0029,PAVEMENT_MARKINGS,What do zebra-striped white markings on the pavement indicate? → A crosswalk for pedestrians,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0030,PAVEMENT_MARKINGS,What does a thick white line across the lane at an intersection indicate? → The stopping point for traffic signals or stop signs,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0031,PAVEMENT_MARKINGS,What do white triangles pointing toward your vehicle indicate? → A yield line where you must give right-of-way,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0032,PAVEMENT_MARKINGS,What does a right turn arrow painted on the pavement mean? → This lane must turn right,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0033,PAVEMENT_MARKINGS,What does a combined left and straight arrow on the pavement indicate? → You may either turn left or continue straight from this lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0034,PAVEMENT_MARKINGS,"When you see the word 'STOP' painted on the pavement, what does it indicate? → A stop line position even if the painted line is worn away",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0035,PAVEMENT_MARKINGS,What is the purpose of crosswalk markings at an intersection? → To designate the safe path for pedestrians crossing the street,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0036,PAVEMENT_MARKINGS,"If you see arrows and the word 'ONLY' together on the pavement, what does this combination mean? → The lane is exclusively for the movement shown by the arrow",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0037,PAVEMENT_MARKINGS,What should you do when you see a stop line at an intersection? → Stop with your front bumper at or before the line,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0038,PAVEMENT_MARKINGS,What do school zone pavement markings typically indicate? → Reduced speed limits and increased pedestrian activity ahead,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0039,PAVEMENT_MARKINGS,Why might you see a stop line positioned well back from the intersection? → To provide sight distance for turning vehicles or large truck clearance,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0040,PAVEMENT_MARKINGS,What does 'NO PASSING ZONE' painted on the pavement mean? → Passing is prohibited in this area due to limited visibility or hazards,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0041,PAVEMENT_MARKINGS,What does a combined right and straight arrow mean? → You may turn right or continue straight from this lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0042,PAVEMENT_MARKINGS,"If there is no marked crosswalk at an intersection, where should pedestrians cross? → At the extension of the sidewalk across the intersection",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0043,PAVEMENT_MARKINGS,What color are most pavement arrows and word markings? → White,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0044,PAVEMENT_MARKINGS,What should you do if you realize you are in a turn-only lane but need to go straight? → Complete the turn and find a safe way to return to your route,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0045,PAVEMENT_MARKINGS,Why are some crosswalks marked with two parallel lines while others use zebra stripes? → Both are valid; zebra stripes provide higher visibility in high-traffic areas,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0046,PAVEMENT_MARKINGS,What is the primary purpose of white pavement markings? → To separate lanes of traffic moving in the same direction,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0047,PAVEMENT_MARKINGS,What is the primary purpose of yellow pavement markings? → To separate traffic moving in opposite directions,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0048,PAVEMENT_MARKINGS,What does a red curb indicate? → No stopping or parking at any time,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0049,PAVEMENT_MARKINGS,What does a blue curb indicate? → Parking reserved for disabled persons with proper permits,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0050,PAVEMENT_MARKINGS,What does a white curb typically indicate? → Passenger loading and unloading only for a limited time,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0051,PAVEMENT_MARKINGS,What does a yellow curb indicate? → Loading zone or no parking during posted hours,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0052,PAVEMENT_MARKINGS,What does a green curb indicate? → Limited time parking as posted,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0053,PAVEMENT_MARKINGS,"Can you stop at a red curb to let a passenger out? → No, red curbs prohibit all stopping",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0054,PAVEMENT_MARKINGS,Why do yellow and white lines have different meanings? → To help drivers quickly identify whether adjacent traffic is traveling the same or opposite direction,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0055,PAVEMENT_MARKINGS,"What does colored pavement in a bike lane indicate? → Enhanced visibility of the bike lane, especially at conflict points",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0056,PAVEMENT_MARKINGS,"What is the difference between a white curb and a blue curb? → White is for passenger loading, blue is for disabled parking only",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0057,PAVEMENT_MARKINGS,When is parking at a green curb typically allowed? → For the limited time posted on nearby signs,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0058,PAVEMENT_MARKINGS,What does it mean when the pavement in a bike lane is painted green? → It highlights conflict zones where drivers must be especially cautious of bicyclists,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0059,PAVEMENT_MARKINGS,"Are you required to park within white painted parking space lines? → Yes, to ensure adequate space for other vehicles and safe access",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0060,PAVEMENT_MARKINGS,"What legal difference exists between a solid yellow curb and a yellow curb with specific time restrictions posted? → Solid yellow may have restrictions that apply 24/7, while posted times indicate whe",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0061,PAVEMENT_MARKINGS,What does a bicycle symbol painted on the pavement with a solid white line indicate? → A designated bike lane that vehicles should not enter,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0062,PAVEMENT_MARKINGS,What does a white diamond symbol painted on the pavement indicate? → A high-occupancy vehicle (HOV) or carpool lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0063,PAVEMENT_MARKINGS,What does a bicycle symbol with chevron markings (sharrow) indicate? → A shared lane where bicycles and vehicles both have right to use the full lane,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0064,PAVEMENT_MARKINGS,What do the pavement markings for a center two-way left turn lane look like? → Yellow lines on both sides with breaks and arrows pointing in both directions,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0065,PAVEMENT_MARKINGS,What does an X with the letters RR painted on the pavement indicate? → Railroad crossing ahead,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0066,PAVEMENT_MARKINGS,"How should you use a center two-way left turn lane? → Enter only to prepare for a left turn, not for passing or through travel",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0067,PAVEMENT_MARKINGS,What does a handicapped parking symbol painted on the pavement indicate? → Parking space reserved for vehicles displaying disabled parking credentials,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0068,PAVEMENT_MARKINGS,"Can you drive in a bike lane to prepare for a right turn? → Yes, you should merge into the bike lane within 200 feet of the turn when safe",DL-7: Pavement Markings,TxDOT design guidelines (50-200 feet); not in Texas Transportation Code,REVIEW,P1,Qualify that 200 feet is a design guideline/best practice. The Texas Transportation Code does not codify a specific bike lane merge distance.
TX-PAV-0069,PAVEMENT_MARKINGS,"What is the purpose of a sharrow versus a dedicated bike lane? → Sharrows indicate shared use of the lane, while bike lanes provide exclusive space for bicycles",DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-PAV-0070,PAVEMENT_MARKINGS,What should you do when approaching an HOV lane marked with diamonds? → Check posted signs for occupancy requirements and hours before entering,DL-7: Pavement Markings,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0001,RIGHT_OF_WAY,"At a 4-way stop intersection, two vehicles arrive at the same time from different directions. Who has the right-of-way? → The vehicle on the right",DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0002,RIGHT_OF_WAY,"At a 4-way stop, if you arrive first, when should you proceed? → After coming to a complete stop and when it is safe",DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0003,RIGHT_OF_WAY,"At an uncontrolled intersection where there are no signs or signals, who has the right-of-way? → The vehicle on the right",DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0004,RIGHT_OF_WAY,You are turning left at an intersection with a green light. Oncoming traffic is approaching. What should you do? → Yield to oncoming traffic before turning,DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0005,RIGHT_OF_WAY,"At a T-intersection, you are on the through street and another vehicle is at the end of the T. Who has the right-of-way? → You have the right-of-way on the through street",DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0006,RIGHT_OF_WAY,You are entering a roundabout. Traffic is already circulating inside. Who has the right-of-way? → Vehicles already in the roundabout,DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0007,RIGHT_OF_WAY,You arrive at an intersection with a stop sign. What must you do before proceeding? → Come to a complete stop and yield to traffic,DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
TX-ROW-0008,RIGHT_OF_WAY,"At a 4-way stop, three vehicles arrive at the same time. Vehicle A is on your right, Vehicle B is across from you, and you are Vehicle C. Who goes first? → Vehicle A on your right",DL-7: Right-of-Way Rules,TX DPS DL-7 handbook / TX Transportation Code,PASS,,
