questionId,topic,currentDifficulty,targetDifficulty,rewriteStatus,sourceRef
TX-SPC-0014,SPECIAL_SITUATIONS,1,2,complete,DL-7 Special Driving Situations
TX-SPC-0016,SPECIAL_SITUATIONS,1,2,complete,Texas Transportation Code §545.251; DL-7 Special Driving Situations
TX-SPC-0020,SPECIAL_SITUATIONS,1,2,complete,MUTCD Section 8B.04; DL-7 Special Driving Situations
TX-SPC-0025,SPECIAL_SITUATIONS,1,2,complete,Texas Transportation Code §545.251; DL-7 Special Driving Situations
TX-SPC-0032,SPECIAL_SITUATIONS,1,2,complete,Texas Transportation Code §542.404; DL-7 Special Driving Situations
TX-SPC-0037,SPECIAL_SITUATIONS,1,2,complete,DL-7 Special Driving Situations
TX-SPC-0042,SPECIAL_SITUATIONS,1,2,complete,MUTCD Section 6E.03; DL-7 Special Driving Situations
TX-SPC-0046,SPECIAL_SITUATIONS,1,2,complete,DL-7 Special Driving Situations
TX-SPD-0001,SPEED_AND_DISTANCE,1,2,complete,Texas Transportation Code §545.3561; DL-7 Speed Limits and Safe Distances
TX-SPD-0002,SPEED_AND_DISTANCE,1,2,complete,Texas Transportation Code §545.352; DL-7 Speed Limits and Safe Distances
TX-SPD-0007,SPEED_AND_DISTANCE,1,2,complete,Texas Transportation Code §545.352; DL-7 Speed Limits and Safe Distances
TX-SPD-0013,SPEED_AND_DISTANCE,1,2,complete,DL-7 Speed Limits and Safe Distances
TX-SPD-0022,SPEED_AND_DISTANCE,1,2,complete,Texas Transportation Code §545.3561; DL-7 Speed Limits and Safe Distances
TX-SPD-0030,SPEED_AND_DISTANCE,1,2,complete,MUTCD Section 2B.13; DL-7 Speed Limits and Safe Distances
TX-SPD-0031,SPEED_AND_DISTANCE,1,2,complete,DL-7 Speed Limits and Safe Distances
TX-SPD-0032,SPEED_AND_DISTANCE,1,2,complete,DL-7 Speed Limits and Safe Distances
TX-SPD-0051,SPEED_AND_DISTANCE,1,2,complete,DL-7 Speed Limits and Safe Distances
TX-SPD-0071,SPEED_AND_DISTANCE,1,2,complete,Texas Transportation Code §545.351; DL-7 Speed Limits and Safe Distances
TX-TRA-0001,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0002,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §545.302; DL-7 Traffic Signals
TX-TRA-0008,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0016,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0021,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0024,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0040,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0041,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0042,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §544.007; DL-7 Traffic Signals
TX-TRA-0051,TRAFFIC_SIGNALS,1,2,complete,Texas Transportation Code §552.002; DL-7 Traffic Signals
