question_id,asset_id,topic,alignment_score,ambiguity_score,issue_type,severity,user_impact,proposed_fix
TX-SIG-0046,MUTCD_S1-1_SCHOOL_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0047,MUTCD_W16-2_SLIPPERY_WHEN_WET,SIGNS,5,5,none,PASS,,
TX-SIG-0048,MUTCD_W20-1_ROAD_CONSTRUCTION,SIGNS,5,5,none,PASS,,
TX-SIG-0049,MUTCD_W20-7_FLAGGER_AHEAD,SIGNS,5,5,none,PASS,,
TX-SIG-0061,MUTCD_I-5_INTERSTATE_35,SIGNS,5,5,none,PASS,,
TX-SIG-0062,MUTCD_I-5_INTERSTATE_10,SIGNS,5,5,none,PASS,,
TX-SIG-0063,MUTCD_M1-1_US_ROUTE_90,SIGNS,5,5,none,PASS,,
TX-SIG-0064,MUTCD_M1-4_STATE_ROUTE_71,SIGNS,5,5,none,PASS,,
TX-SIG-0065,MUTCD_D1-1_EXIT_SIGN,SIGNS,5,5,none,PASS,,
TX-SIG-0066,MUTCD_D3-1_DISTANCE_SIGN,SIGNS,5,5,none,PASS,,
TX-SIG-0067,MUTCD_D9-1_REST_AREA,SIGNS,5,5,none,PASS,,
TX-SIG-0068,MUTCD_D9-2_HOSPITAL,SIGNS,5,5,none,PASS,,
TX-SIG-0069,MUTCD_D9-3_GAS_STATION,SIGNS,5,5,none,PASS,,
TX-SIG-0081,MUTCD_OM1-1_KEEP_RIGHT,SIGNS,5,5,none,PASS,,
TX-SIG-0082,MUTCD_OM2-1_KEEP_LEFT,SIGNS,5,5,none,PASS,,
TX-SPC-0001,INTERSECTION_SCHOOL_BUS_STOPPED,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0004,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0007,MUTCD_S1-1_SCHOOL_CROSSING,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0012,PAVEMENT_SCHOOL_ZONE,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0016,SPECIAL_RAILROAD_STOP_PROCEDURE,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0017,MUTCD_R15-1_RAILROAD_CROSSING,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0020,MUTCD_R15-1_RAILROAD_CROSSING,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0027,PAVEMENT_RAILROAD_CROSSING_X,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0031,MUTCD_W20-1_ROAD_CONSTRUCTION,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0033,SPECIAL_WORK_ZONE_FLAGGER,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0034,INTERSECTION_EMERGENCY_VEHICLE,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0042,MUTCD_W20-7_FLAGGER_AHEAD,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPD-0001,SPEED_SCHOOL_ZONE_20MPH,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0002,SPEED_LIMIT_RESIDENTIAL_30,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0017,MUTCD_R2-1_SPEED_LIMIT_70,SPEED_AND_DISTANCE,3,5,potential_mismatch,P2,,
TX-SPD-0022,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0030,MUTCD_R2-1_SPEED_LIMIT_65,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0031,SPEED_FOLLOWING_DISTANCE_3SEC,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0056,SPEED_STOPPING_DISTANCE,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0076,SPEED_PASSING_CLEARANCE,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0080,MUTCD_R10-7_DO_NOT_PASS,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-TRA-0001,SIGNAL_SOLID_RED,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0002,SIGNAL_SOLID_GREEN,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0003,SIGNAL_SOLID_YELLOW,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0009,SIGNAL_RED_YELLOW_TOGETHER,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0021,SIGNAL_GREEN_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0022,SIGNAL_GREEN_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0023,SIGNAL_YELLOW_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0024,SIGNAL_RED_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0028,SIGNAL_RED_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0035,SIGNAL_GREEN_ARROW_RIGHT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0041,SIGNAL_FLASHING_RED,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0042,SIGNAL_FLASHING_YELLOW,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0051,SIGNAL_PED_WALK,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0052,SIGNAL_PED_DONT_WALK,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0055,SIGNAL_PED_COUNTDOWN,TRAFFIC_SIGNALS,5,5,none,PASS,,
